cam,CLDLOW,"Vertically-integrated low cloud",fraction,3D - txy,"[1, 46, 72]"
cam,CLDMED,"Vertically-integrated mid-level cloud",fraction,3D - txy,"[1, 46, 72]"
cam,PRECSC,"Convective snow rate (water equivalent)",m/s,3D - txy,"[1, 46, 72]"
cam,f11vmr,"f11 volume mixing ratio",none,scalar,"[1]"
cam,PRECL,"Large-scale (stable) precipitation rate (liq + ice)",m/s,3D - txy,"[1, 46, 72]"
cam,TGCLDIWP,"Total grid-box cloud ice water path",gram/m2,3D - txy,"[1, 46, 72]"
cam,SFCLDICE,"CLDICE surface flux",kg/m2/s,3D - txy,"[1, 46, 72]"
cam,TMQ,"Total (vertically integrated) precipitable water",kg/m2,3D - txy,"[1, 46, 72]"
cam,TAUY,"Meridional surface stress",N/m2,3D - txy,"[1, 46, 72]"
cam,ntrm,"spectral truncation parameter M",none,,"[]"
cam,QFLX,"Surface water flux",kg/m2/s,3D - txy,"[1, 46, 72]"
cam,TAUX,"Zonal surface stress",N/m2,3D - txy,"[1, 46, 72]"
cam,ndcur,"current day (from base day)",none,scalar,"[1]"
cam,SOLIN,"Solar insolation",W/m2,3D - txy,"[1, 46, 72]"
cam,hybm,"hybrid B coefficient at layer midpoints",none,1D,"[26]"
cam,CLDICE,"Grid box averaged cloud ice amount",kg/kg,4D - tzxy,"[1, 26, 46, 72]"
cam,T,"Temperature",K,4D - tzxy,"[1, 26, 46, 72]"
cam,SNOWHICE,"Snow depth over ice",m,3D - txy,"[1, 46, 72]"
cam,ICWMR,"Prognostic in-cloud water mixing ratio",kg/kg,4D - tzxy,"[1, 26, 46, 72]"
cam,UU,"Zonal velocity squared",m2/s2,4D - tzxy,"[1, 26, 46, 72]"
cam,CLDTOT,"Vertically-integrated total cloud",fraction,3D - txy,"[1, 46, 72]"
cam,PS,"Surface pressure",Pa,3D - txy,"[1, 46, 72]"
cam,TS,"Surface temperature (radiative)",K,3D - txy,"[1, 46, 72]"
cam,CLOUD,"Cloud fraction",fraction,4D - tzxy,"[1, 26, 46, 72]"
cam,RELHUM,"Relative humidity",percent,4D - tzxy,"[1, 26, 46, 72]"
cam,FLNTC,"Clearsky net longwave flux at top of model",W/m2,3D - txy,"[1, 46, 72]"
cam,FSDS,"Downwelling solar flux at surface",W/m2,3D - txy,"[1, 46, 72]"
cam,FSNTC,"Clearsky net solar flux at top of model",W/m2,3D - txy,"[1, 46, 72]"
cam,FICE,"Fractional ice content within cloud",fraction,4D - tzxy,"[1, 26, 46, 72]"
cam,time,"time",days since 2000-01-01 00:00:00,scalar,"[1]"
cam,TREFHT,"Reference height temperature",K,3D - txy,"[1, 46, 72]"
cam,DTCOND,"T tendency - moist processes",K/s,4D - tzxy,"[1, 26, 46, 72]"
cam,CLDLIQ,"Grid box averaged cloud liquid amount",kg/kg,4D - tzxy,"[1, 26, 46, 72]"
cam,lev,"hybrid level at midpoints (1000*(A+B))",level,1D,"[26]"
cam,VD01,"Vertical diffusion of Q",kg/kg/s,4D - tzxy,"[1, 26, 46, 72]"
cam,PBLH,"PBL height",m,3D - txy,"[1, 46, 72]"
cam,time_bnds,"time interval endpoints",none,2D const,"[1, 2]"
cam,ndbase,"base day",none,,"[]"
cam,U,"Zonal wind",m/s,4D - tzxy,"[1, 26, 46, 72]"
cam,QRS,"Solar heating rate",K/s,4D - tzxy,"[1, 26, 46, 72]"
cam,FLNSC,"Clearsky net longwave flux at surface",W/m2,3D - txy,"[1, 46, 72]"
cam,co2vmr,"co2 volume mixing ratio",none,scalar,"[1]"
cam,FLNT,"Net longwave flux at top of model",W/m2,3D - txy,"[1, 46, 72]"
cam,gw,"gauss weights",none,1D,"[46]"
cam,VQ,"Meridional water transport",m/skg/kg,4D - tzxy,"[1, 26, 46, 72]"
cam,DTV,"T vertical diffusion",K/s,4D - tzxy,"[1, 26, 46, 72]"
cam,EMIS,"cloud emissivity",1,4D - tzxy,"[1, 26, 46, 72]"
cam,QREFHT,"Reference height humidity",kg/kg,3D - txy,"[1, 46, 72]"
cam,SHFLX,"Surface sensible heat flux",W/m2,3D - txy,"[1, 46, 72]"
cam,LHFLX,"Surface latent heat flux",W/m2,3D - txy,"[1, 46, 72]"
cam,PRECC,"Convective precipitation rate (liq + ice)",m/s,3D - txy,"[1, 46, 72]"
cam,wnummax,"cutoff Fourier wavenumber",none,1D,"[46]"
cam,ilev,"hybrid level at interfaces (1000*(A+B))",level,1D,"[27]"
cam,FLUT,"Upwelling longwave flux at top of model",W/m2,3D - txy,"[1, 46, 72]"
cam,ch4vmr,"ch4 volume mixing ratio",none,scalar,"[1]"
cam,f12vmr,"f12 volume mixing ratio",none,scalar,"[1]"
cam,FSNTOA,"Net solar flux at top of atmosphere",W/m2,3D - txy,"[1, 46, 72]"
cam,FLDSC,"Clearsky downwelling longwave flux at surface",W/m2,3D - txy,"[1, 46, 72]"
cam,TGCLDLWP,"Total grid-box cloud liquid water path",gram/m2,3D - txy,"[1, 46, 72]"
cam,LWCF,"Longwave cloud forcing",W/m2,3D - txy,"[1, 46, 72]"
cam,mdt,"timestep",s,,"[]"
cam,V,"Meridional wind",m/s,4D - tzxy,"[1, 26, 46, 72]"
cam,FLNS,"Net longwave flux at surface",W/m2,3D - txy,"[1, 46, 72]"
cam,FSDTOA,"Downwelling solar flux at top of atmosphere",W/m2,3D - txy,"[1, 46, 72]"
cam,nbsec,"seconds of base date",none,,"[]"
cam,TGCLDCWP,"Total grid-box cloud water path (liquid and ice)",gram/m2,3D - txy,"[1, 46, 72]"
cam,VV,"Meridional velocity squared",m2/s2,4D - tzxy,"[1, 26, 46, 72]"
cam,lat,"latitude",degrees_north,1D,"[46]"
cam,ICEFRAC,"Fraction of sfc area covered by sea-ice",fraction,3D - txy,"[1, 46, 72]"
cam,slat,"staggered latitude",degrees_north,1D,"[45]"
cam,nscur,"current seconds of current day",none,scalar,"[1]"
cam,PHIS,"Surface geopotential",m2/s2,3D - txy,"[1, 46, 72]"
cam,PSL,"Sea level pressure",Pa,3D - txy,"[1, 46, 72]"
cam,Z3,"Geopotential Height (above sea level)",m,4D - tzxy,"[1, 26, 46, 72]"
cam,P0,"reference pressure",Pa,,"[]"
cam,hyam,"hybrid A coefficient at layer midpoints",none,1D,"[26]"
cam,DCQ,"Q tendency due to moist processes",kg/kg/s,4D - tzxy,"[1, 26, 46, 72]"
cam,AEROD_v,"Total Aerosol Optical Depth in visible band",1,3D - txy,"[1, 46, 72]"
cam,nsteph,"current timestep",none,scalar,"[1]"
cam,OCNFRAC,"Fraction of sfc area covered by ocean",fraction,3D - txy,"[1, 46, 72]"
cam,nlon,"number of longitudes",none,1D,"[46]"
cam,FLDS,"Downwelling longwave flux at surface",W/m2,3D - txy,"[1, 46, 72]"
cam,slon,"staggered longitude",degrees_east,1D,"[72]"
cam,ICIMR,"Prognostic in-cloud ice mixing ratio",kg/kg,4D - tzxy,"[1, 26, 46, 72]"
cam,FSNS,"Net solar flux at surface",W/m2,3D - txy,"[1, 46, 72]"
cam,SNOWHLND,"Water equivalent snow depth",m,3D - txy,"[1, 46, 72]"
cam,FSNTOAC,"Clearsky net solar flux at top of atmosphere",W/m2,3D - txy,"[1, 46, 72]"
cam,CONCLD,"Convective cloud cover",fraction,4D - tzxy,"[1, 26, 46, 72]"
cam,FSNT,"Net solar flux at top of model",W/m2,3D - txy,"[1, 46, 72]"
cam,lon,"longitude",degrees_east,1D,"[72]"
cam,VT,"Meridional heat transport",K m/s,4D - tzxy,"[1, 26, 46, 72]"
cam,VU,"Meridional flux of zonal momentum",m2/s2,4D - tzxy,"[1, 26, 46, 72]"
cam,TSMN,"Minimum surface temperature over output period",K,3D - txy,"[1, 46, 72]"
cam,TSMX,"Maximum surface temperature over output period",K,3D - txy,"[1, 46, 72]"
cam,sol_tsi,"total solar irradiance",W/m2,scalar,"[1]"
cam,ntrk,"spectral truncation parameter K",none,,"[]"
cam,datesec,"current seconds of current date",none,scalar,"[1]"
cam,hybi,"hybrid B coefficient at layer interfaces",none,1D,"[27]"
cam,hyai,"hybrid A coefficient at layer interfaces",none,1D,"[27]"
cam,QRL,"Longwave heating rate",K/s,4D - tzxy,"[1, 26, 46, 72]"
cam,LANDFRAC,"Fraction of sfc area covered by land",fraction,3D - txy,"[1, 46, 72]"
cam,w_stag,"staggered latitude weights",none,1D,"[45]"
cam,OMEGA,"Vertical velocity (pressure)",Pa/s,4D - tzxy,"[1, 26, 46, 72]"
cam,FSNSC,"Clearsky net solar flux at surface",W/m2,3D - txy,"[1, 46, 72]"
cam,n2ovmr,"n2o volume mixing ratio",none,scalar,"[1]"
cam,SWCF,"Shortwave cloud forcing",W/m2,3D - txy,"[1, 46, 72]"
cam,Q,"Specific humidity",kg/kg,4D - tzxy,"[1, 26, 46, 72]"
cam,FSUTOA,"Upwelling solar flux at top of atmosphere",W/m2,3D - txy,"[1, 46, 72]"
cam,U10,"10m wind speed",m/s,3D - txy,"[1, 46, 72]"
